class	tweet
0	США. В 2019 средний рост цен на 3400 лекарств составил 10,5% или в 5 раз выше уровня инфляции. 41 лекарство подорожало на 100%, антидепрессант прозак на 879%. Треть больных не пьют лекарства из-за их цены. Rx Savings Solutions
1	приступ начался из за вентолина но без него я не могу дышать от спазмов выбирай стул так сказать
1	Я всегда сплю на матрасе флуоксетина
0	«если бы не ксанакс , мы бы с тобой не познакомились»(с)
0	@sukabld Истории алкоголиков – самые скучные на свете Истории под габой не кончаются похмельем Что ещё нужно? Баклофен?
1	Побочка от имодиума: тошнота.  О Х У Е Н Н О
1	Не пил паксил 2 дня, начало сильно потряхивать,  как пьезой в суставы,  выпил одну, и чувствую как переть начинает, а что если её заюзать?
0	а ингалятор не таскаешь с сальбутамолом?
1	Мне понравилось видео "Как похудеть - метформин для "сушки" в спорте"
0	АДЕПРЕСС ВОТ ЭТО НАЗВАНИЕ УМНОЕ
0	Это вообще легально? Справа нопан, кстати
1	Кветиапин. Нейролептик. Убирает абсолютно все эмоции. Им даже кормят американских солдат, чтоб ничего не чувствовали. Достать можно лишь по рецепту от психиатра/невролога. из минусов- набор веса и пиздец какие странные сны
0	@kurdiston Рейтинг очень простой 1. Клоназепам 2-99. Вакантнтны 100. Алпразолам 101-999. Вакантны 1000. Феназепам как единственное легкодоступное. Копеечная советская вонючая мазь
1	затравка: флуоксетин подавляет голод ожидание: всё точно так же, просто голод приходит медленнее реальность: не хочешь есть не хочешь есть не хочешь есть ХУЯК ЖИВОТ СВОДИТ ТАК ЧТО ХОДИТЬ НЕВОЗМОЖНО ГОЛОВА КРУЖИТСЯ ЕЛЕ СТОИШЬ НА НОГАХ
0	активное вещество - сальбутамол, а аэрозоль - вентолин, у самой такой
1	@nightbvrd но лоперамида много нельзя 💦 он отключает кишечник насовсем 💦💦💦 а если там вирус, то 💦💦💦💦💦 смекту или угля надо похавать
1	Когда первый месяц пьешь один венлафаксин, становится очень тяжело уснуть, иногда не спишь всю ночь. Днём постоянно зеваешь и залипаешь, а от тревожности мне ещё больше хотелось спрятаться под одеяло и лежать там. Тк я пила его только месяц, не ручаюсь, проходит ли это после
0	Именно такая доза помогает мне уснуть (клоназепам и кветиапин)
1	вот пион читал, но не пробовал лично. Сегодня у меня фенотропил с габапентином. Улыбаюсь, планов море, уверенности вагон. К вечеру только притормозило сильно, вырубает спать, надо что-то менять будет. Но весь день бодрячком и с улыбкой :)
1	@A_Kapustin Сибутрамин.  Торговое название - голд лайн . От него еще и хуй стоит постоянно.
1	меня и так тошнит постоянно то от алкоголя то от прозака но когда я ко всему ещё и заболела ситуация стала вообще критической
0	такая же фигня, но габапентин вроде помогает
0	лучше йогурта по утрам только пиво и рексетин обещай себе пить до дна и насри в трусы
1	На чилле улетаю в Чили @ каламбуры от Ксанакса, не переключайтесь.
0	ОЙ РЕБЯТА Я ГОД ИЛИ БОЛЬШЕ НЕ ЕЛА ФЛУОКСЕТИН И ЩА РЕШИЛА ПАЧКУ НАВЕРНУТЬ
1	Начинаю чувствовать действие паксила, настроение реально становится лучше. Миртазапин не решаюсь пить ибо ходить как овощ весь день не оч хочется.
0	Или донормил без рецепта, или габапентин из интернет-аптеки
0	6000 доз сальбутамола ему в жопу этому журналисту из Норвегии
0	Планы на ближайшее будущее: кушать флуоксетин тем самым приближая собственную кончину
0	Благодарю. Житнев Сеалекс принял. Раззабивался в последних матчах)
1	@catspirit ну в моем случае комбо венлафаксина\миртазапина странное. ибо один хрен овощем хожу-лежу, лол.
1	Проебала четыре приема велафакса, и теперь у меня отваливается голова
1	с флуоксетина спать тянет хоть с чем то ты помогаешь
0	По сути все то же, что я принимала у частного осенью, плюс ламотриджин
1	короче, когда мне снизили дозу венлафаксина, мне через какое-то время стало полегче. два дня мне было сносно, я даже смогла съездить к полине, убраться в комнате и сделать ещё пару мелких дел. на этом всё, сейчас я опять лежу и от тахикардии в груди жжёт
0	Кто хочет поехать со мной в санаторий? На обед галоперидол и велаксин)
0	Не всё так однозначно. Прозак тому пример.
0	у них наценки за все ментальное удовольствие ужасные (пару таблеток ксанакса вот предлагают купить за пару косарей)
0	Еще одна команда астматиков. А кто-то из шведских спортсменов надысь надрывал глотки обвиняя проклятых русских в нечестной игре. А у самх рыло в сальбутамоле.
0	Ципрофлоксацин - это убойная вещь!😎#Больничка
0	чел мог дальше делать музыку,зарабатывать деньги,но он просто пережрал ксанакса и сдох)разве это не долбоебизм?
1	@moon_out @Zverovski рексетин курсом ебошить надо и он рецептурный, перед его приёмом надо к психиатру сходить. да, и он больше эйфорических ощущений принесёт, а не успокоения, обратный же захват серотонина, вся хурма.
0	Корвитол нэрээрээ эмийн сангуудаар бий.
0	Как обычно приняв солидную дозу прегабалина-рихтера, Пастор тот час же одел маску Абсолютного-Крокодила и запустил неуправляемые слова Иного Бога прямиком в гниющую планету "Агрика".  Они охуели..
0	Кофеин состоит из углерода, водорода, азота и кислорода — так же, как и кокаин, талидомид, нейлон, тротил и героин. Приятного кофепития)
0	бггг в аптечке есть лоперамид, если что))
0	@cursivanovo Что-то странное творится с закупками лекарств для диабетиков! Уже 2 месяц в 7-й пол-ке не выдают ни Галвуса или Янувии! Не закупили!-отвечают в Департаменте.Почему? А как быть больным? Ведь цена на эти препараты в аптеках очень "кусается"! На пенсию не купить.
1	99% жрет флуоксетин. Его всем подрят выписывают. Я его ел 3 месяца подряд в детстве прикола ради, в дозировках значительно превышающих терапевтические и на 3 месяц был вынужден отказаться из-за невыносимой побочки.
1	35. Ой я совсем забыла про ебучий ФЛУОКСЕТИН АКА ПРОЗАК который жрали просто все, кому не лень. Тогда ещё не так строго было в аптеках с препаратами по рецепту))) в побочках написано АНОРЕКСИЯ!!! правда никто не уточнял, что желание жрать пропадает максимум на 2 недели
1	@nappo_what 1 неделя флуоксетин 10 мг - ничего не было.  Потом терапевтическая доза флуоксетин(прозак) 20 по утрам.   1 неделя - сильные головные боли, неприятные ощущения тревожности в груди ("сердце вырывается"), бессонница, пропал повышенный аппетит - кушала, потому что надо.
1	@LGBT_KISLOTA Сильно болит живот за день до и в первый день. Очень сильно знобит. И не могу есть: если не выпью гору лоперамида, плохо станет от чего угодно и в течение часа. Мне легче, когда двигаюсь, тогда не так плохо всё.
0	Утро начинается с приступа слез. Кажется, снова пора к психиатру. Два курса флуоксетина не помогли. Становится страшно, ребят.
0	Пример по гриппу привел из личного опыта. По поводу ВОЗ и неоспоримого авторитета медицинского образования посмотрите в Вики "Талидомид". И кстати, многие современные педиатры теперь не считают манную кашу безопасной едой.
0	Я с тринадцати лет жрала флуоксетин, как думаешь?
0	В шестидесятых люди принимали кислоту, чтобы сделать мир странным. А сегодня мир стал странным, и люди принимают прозак, чтобы сделать его нормальным.
1	В голове творится такая хуйня, будто сижу на прозаке, мысли словно утекают в сточные воды. Пока скидываю все на погоду.
1	Венлаксор закончился вчера утром, я сутки без лекарств, и меня уже трясёт, рычу на всех, как в самый худший ПМС в жизни.  Это что, я до венлы всегда такая была? 🤭🙈🙈🙈
0	Из всего перечисленного реально действует только метопролол, все остальное для успокоения пациента и не входит в стандарты. Часто пациенты выпрашивают капельницы для «поддержания» - хотите туфту капать - платите из своего кармана
1	@vrodeinna раньше мы покупали Баклофен, не знаю, продаётся ли сейчас. Но вещь чумовая - сначала ты гиперактивный, потом ходячий труп.
1	я понимаю почему от флуоксетина худеют тебя тошнит так что ты не способна переварить никакую пищу
0	В него входит килограмм алпразолама или ксанекса, старшеки, уродливые телки пиздешь, карманные деньги, беспамятство. Ха-ха.  Росту во сне, потные руки, хватаю ртом воздух. Ёбаный плюшевый мишка - пустой взгляд разорванной морды.
1	аддерал больше не могу принимать ибо если меняешь дозировку (больше или меньше) то становишься ненормальной и вообще в рф незаконно
1	Я тоже его читал он весь текст в каком то экстазе от всего, как на прозаке с МДМА !
1	@tordius Очень выгодно производить пустышку  как лекарство  от простуды, которая проходит самос-но  через несколько дней. Сложно оценить эффективность.Даже тамифлю с доказан-й эффективностью от гриппа  не сокращал продолжительность болезни в сравнении с банальным парацетамолом
1	чувствую прозак ещё даст о себе знатьу меня уже началась аритмиябля )))
0	чувствую дозу ламиктала придется повысить до 400
1	У меня такие странные мышечные ощущения от паксила кстати бывают. Может у феназепама тоже бывают такие побочки
1	Блять. Ксанакс и рогипнол закончились, не могу уснуть даже под блистером феназепама, мда
0	От меня совет, что ему помогало реально: капли тафен - в течение месяца каждый день в каждую ноздрю. Эффект временный, но был пару месяцев.
0	Вчера покупал лекарства: крестор, омник, полоски для измерения сахара, глюкофаж. Ушло 11 тысяч. Бедные пенсионеры. Каково им?
1	однако спасибо метформину -4 кг йухуууу уже можно спокойно жрать на нг
0	А послезавтра аптеки с прозаком)
1	2 капсулы флуоксетина зрачки опять за орбитой просто какого??? 7?
0	Нет. Но на баклофене можно, я его ещё коснусь.
1	Никогда не принимайте АД #Пароксетин  От него вас так разнесёт, шо пиздец   Единственный плюс - это гордиться потом, что похудел на 15 кг  Ну или не похудел 😬🤷🏼‍♀️
0	попробовал не жрать кветиапин и не бухать чтобы не спать много а сам уснул в девять утра и проснулся в одиннадцать вечера плюс по пятнадцатиминутному перерыву на лайки и ретвиты в шестнадцать и девятнадцать
1	походу я единственный в мире человек который толстеет от флуоксетина :(
0	Одна женщина в возрасте рассказывала.  Купила в аптеке Ксарелто. Приходит домой. Открывает упаковку, а таблеток нет.  А они стоят очень дорого.  Одна инструкция внутри.  Получается, что надо в аптеке проверять наличие и внешний вид лекарств ???!!
1	бля, как же я хочу просто нажраться кветиапином и уснуть на часов 15 (у меня еще целая пластинка), но хрен мне, школа ведь.
1	Эй, но ведь велаксин классный. Ну если не учитывать, что от него страшно тошнит и это худший синдром отмены, ну а так он няшечка
0	Да я ж эутирокс пью, но спасибо)
1	Вот все время пока жру кветиапин донимают гиперреалистичные многоуровневые и длиннющие сны, в этот раз я даже догадался что похоже сплю, но никакие проверки на "сплю ли я" не сработали, какое-то ебанутое подсознание.
1	Пока на глаза попалась "Я сошла с ума", признаюсь ксанаксу: Я сошла с ума, я сошла с ума, мне нужна она - ТАБЛЕТОЧКА.
0	А чем-то действительно похож на весельчака из рекламы сеалекса)Яблоку только и осталось,что таблички перебирать
0	Lil peep сдох от передоза ксанаксом. Интересно, когда уже от ксанакса откинется @iwanttechnique ?
1	@katya_titkova просто вся эта побочка талидомида вылезла только после реальных кейсов, увы
1	короче лол  аллергия была не на метформин а на гормоны (причём не на оболочку а на сами блять гормоны кккккк) и теперь я тупа не знаю как буду лечить свой бешеный гормональный перекос
0	настоящие ценители знают что брать надо прегабалин рихтер
1	Я перестала есть потому что больше не хочется. Флуоксетин пока даёт только этот эффект. Ем потому что надо три раза в день, иногда два. Ещё бы щитовидку проверить и плотно заняться здоровьем и спортом. Тогда может и не наберу обратно вес.
1	Я не понимала почему меня постоянно тошнит, а потом вспомнила что я снова пью метформин
1	Противозачатные пить опасно, там этинилэстрадиол который в крови долго держится и загущает кровь. Ни один эндокринолог не порекомендует их пить
0	@narkomantika Я дебил, конечно же Прозак, а не зодак
1	Попила цифран ст с зубами своими больными, уже месяц второй страдаю от последствий того, что он убил всё нахуй в организме. Как люди после химии восстанавливаются?
1	Да чтоб я ещё раз взяла что-то по совету аптекарей! Парацетамольный порошок на вкус такой, будто зубную пасту выпил. Потеря части ужина и залп вентолина после кашля в комплекте. Нет, мироздание, когда я думала о том, что не хочу прямо сейчас спать, я не это имела в виду.
1	ненавижу блять. если на прозаке анорексигенный эффект заключается в том, что еда перестаёт успокаивать, то какой-то это хреновый эффект.
0	хочу xanax но имею только алпразолам
0	Петриченко нужно прописать лоперамид 3 раза в день. Бо признаки хронического взрыва пукана налицо. Так и порвет скоро.
0	Lil Peep умер в 21 от передозировки Ксанаксом и Фентанилом. Ну и зачем?
0	По идее венлафаксин, но я тоже не могу понять, как можно было так написать
0	На велаксин, до сих пор её проклинаю
1	Есть перестал, прозак криво вставлял, с травой засада Транков нет, сна хуй дождёшься, самооценка ноль, не помогает алкоголь Сознание спутано, бред, друзья беспокоятся, я с ними груб
0	сегодня я скушала первую таблетку триттико буду делиться впечатлениями
0	1 в рюкзаке у меня всегда имеется стартер-пак на несчастный случай. его составляющие– лейкопластырь,дротаверин, лоперамид,парацетомол и капли для носа.
0	не надо с алпразоламом мешать
1	от сероквеля сплю по 14 часов и все равно хочу спать спасите
0	Сальбутамол вин в мужской эстафете. В принципе как и в женской #Olympics
1	еще про побочки. когда я принимал оланзапин мне нужно было получить банковскую карту. мне пришлось перевыпустить ее ТРИЖДЫ, потому что я забывал пинкод и забывал куда записывал пинкод. а однажды я даже забыл свой адрес.
0	Ну в США принято упарываться риталином, аддералом и модафинилом, которые у нас запрещены. А так фенотропил, таки, действует как стимулятор, на самом деле, насколько мне известно, поэтому он в эту схему прекрасно вписывается.
1	Аааа, какой кошмар( Как у меня от метформина, не усваивается В12(( Да, эти лекарства одно лечат, другое калечат(
0	@masha_kup выпила с сахзамом и ОДНОЙ печенюшкой, приняла форметин. ну а что было дальше и так понятно.
0	У неё,конечно же,другая цель,благородная.Как и цена на газ, или каждому по Тамифлю?
1	ЕСТЬ ПЕРЕСТАЛ, ПРОЗАК КРИВО ВСТАВЛЯЛ.
1	@_alekseyt @dsyabitov тогда уж лучше Лоперамид. Мягче, действует быстрее. Фталазол пока перекроет все кусты пометишь. И потом запор на 3 дня
0	мб и леволет, я не знаю :((((
1	Сушняк от прозака - наверное самый дикий и регулярный, что были в моей жизни. Пиздец какой-то.
0	Слушатт платину как кушать ксанакс
1	нет, простите, мне нужно это написать &gt;по результатам постмаркетинговых наблюдений оланзапина были зафиксированы случаи внезапной смерти
0	Почти так же.Вместо мидокалма баклофен или сирдалуд.Ранитидин не пью, омепразол)
0	как пахнут твои волосы флуоксетином и концентрированным фенобарбиталом  привет  мне тебя так не хватало
0	Это аллергия на ледокаин или на антибиотик который прописал врач после удаления. Мне Ципролет лично прописывал
1	Серотонин понижен. Тут либо флуоксетин либо каннабис
1	@daria_calma @proza_c я тоже много лет сидел на эутироксе (синтетический Т4) и при этом имел лишний вес, утомляемость, рассеянное внимание, трудности со сном,  мышечные боли, низкий уровень энергии и т.д.  про то что  моно терапия  синтетическим  т4  мало кому помогает даже при  якобы норм анализах
1	Периодически юзаю паксил + атаракс. Первые три дня приёма спишь постоянно. Ну и эффект антиеботиков 100%. А так все ок всегда. Даже был случай, когда выходила резко, но все относительно безболезненно прошло.
1	Я на амбулаторном этапе этим занимаюсь. Антидепрессанты (лучше венлафаксин, я думаю, чем СИОЗС, снижающие аппетит), нейролептики не люблю, но иногда без них никуда. Режим набора веса крайне аккуратный нужен. Личная и семейная терапия точно нужны, но не все готовы на это.
1	У меня от пароксетина аноргазмия)
0	Это от слабости. Требуется имодиум.
1	Так, первый день без таблеток и пульмикорта. Сопельки подтекают, но думаю, это психосоматика
1	@Ally_Besoalone @aoi_ano_sora Я сидела на нем 3 месяца, стала как зомби, на лице улыбка, внутри пустота. Резко бросила, 3 дня в агонии была. У паксила из всех ад самая хуевая отмена.  Если у тебя пройдёт легко, то ты волшебная
0	меня вставляет с ксанакса паши техника можете со мной не общаться
1	Никогда Слышите Никогда не пробуйте жевательный лоперамид в таблетках, я не знаю что там в составе, но я блевал дальше, чем видел
0	выбирала что купить прозак или водку в итоге купила йогурт можете мной гордиться
0	вопрос: где лучше искать себе бухгалтершу, в твиттере или в тиндере?  правильный ответ: в тиндере, т.к. на первых без слёз даже под "ксанаксом" не взглянешь
0	Как вариант ещё флуоксетин, он не такой эффективный как амф, но зато дешевый
1	Поняла, что расстройство сна у меня не из-за дулоксетина, потому что оно обострилось при увеличении дозы ламотрика. Сегодня мне снилось, что я вынуждена жить на 10 этаже в шатающемся доме с боязнью высоты. А мне говорят, что дом не шатается, мне просто кажется.
0	если так работает велаксин и привыкание к нему, то пиздец, а если это мое личное состояние, то еще больший пиздец..
1	въебала в пять утра перед сном 200 мг кветиапина и вот уже три часа дня, я не очень давно таки выволокла себя из теплой кроватки, все утро шел дождь, я пару раз просыпалась, но потом засыпала обратно. охуенно. чувствую себя плюшевоватной, но отдохнувшей.
1	я в Вильнюсе в музыкальном театре сегодня работаю и ещё сегодня первый день перехода на следующую дозу Паксила. У меня зрачки размером с пивную крышечку и я хочу всех послать в пизду
1	всё же пить пароксетин с утра было так себе идеей. продуктивность низкая, прокрастинация одолела. надо эти два дня доработать в режиме бззз.
0	@WinteryMaiden ты просто не видела меня сейчас :с ципролет, мирамистин, тауфон витаминки уже вообще невозможно больно капать.
0	Цифран как антибактериальное средство для лечения инфекций /  / Цифран (действующее вещество ципрофлоксацин) – э.. https://t.co/bn3xLaYhpp
0	Ух, нахуя я по пути усосал литр энергоса, вперло чет (не считая баклосана, это по умолчанию подразумевается)
0	Садимся на ксанакс, чтобы в городе уважали и говорили: "О, я их знаю, зависают на ксанаксе. Жесткие типы"
0	Бахнув циклодола с ксанаксом, вижу весь мир как в работах Пикассо
0	дыхалка несколько дней слетает  сейчас тупо такая злая топала на кухню за сальбутамолом  хули блять астматику
1	помню самое клевое и самое стремное одновременно было на прозаке я тогда похудела до 48 кг и не могла ничего писать вообще никак
0	@torosenkomax @sashkosha Ипать что? Знач эт ксанакс прост они его замаскировали🤔
0	тамифлю от самого гриппа, анальгин сбивать температуру.
1	далее идет шок инфа про то что ВНИМАНИЕ от передозировки ксанаксом умер лил пип (хотя от какой наркоты он умер непонятно до сих пор) умер макмиллер и "застрелили рэпера икса"  твит благодарности коле за то что он не сказал про англичанина потому что на русское музло ему насрать
0	Пацани, хто може намутити Флуоксетину без рецепту? Заплачу любі бабки.
1	И качество проверили бы тоже. Невозможно, меняют коробки, внутри фальсификат, от которого плохо, что это. Энам, Ципролет, Анаприлин, все поддельное, людей просто травят.
1	но, честно, я даже не представляю, как буду обходиться без кветиапина, т.к. он дарил мне стабильный и заебенный сон
0	Серена употребляет опиоид оксикодон. Это 100% вылет. Но ей врач рекомендовал. И wada довольна. Маша употребляла безвинную вещь. Но Маша - русская
0	МДа уж девочки сяду-ка я назад на флуоксетин. ну а что? психотерапия вещь дорогая нынче, а флуоксетин по 40 гривен за пачку
0	Излечение оппозиционеров проводится с помощью таких лекарства, как Аддерал и Ксанакс.
1	еще не очень просто обращаться, а еще я сплю по полсуток с лишним, хотя это, возможно, побочка флуоксетина.  А может, все еще этаперазин и финлепсин \я пью столько чертовых таблеток, если честно, сколько никогда в жизни не пила, и мне немного стремно от этого\
0	@alora_tu Ахахпз😂 Ну так то да, спасибо)) При гриппе помогает осельтамивир, он же "Тимифлю" и тд, это его действующее вещество) Помогает прям, инфа сотка, я читал 😎 А почти всё остальное а-ля от гриппа эт иммуномодуляторы, которые фуфло, гыы))
1	в аптеке есть замечательный препарат. ксанакс. мне в месяц по сто штук выписывают. я им просто объедаюсь. представь пред-оргазменное состояние, когда почти-почти кончил. вот оно- это весь трип ксанакса (4-6 часов)
0	Пью Баклофен. Это как Бафомет, только от фармацевтики.
0	@tweetsNV Выялено: 1. Героин 2. Кокаин 3. Барбитураты 4. Метадон 5. Алкоголь 6. Кетамин 7. Бензодиазепин 8. Амфетамин 9. Табак 10. Бупренорфин 11. Конопля 12. Химические растворители 13. 4-МТА 14. ЛСД 15. Метилфенидат 16. Анаболические стероиды 17. GHB 18. Экстази
0	потому что кветиапин мудак. Мне понадобилось полгода, чтобы понять, что нужно разбивать на мелкие дозы и пить в течение дня
0	А сальбутамол из России не им продали ? Кто в курсе ?
0	путь от Вани Алексеева до Вани Светло примерно равен пути от рациума до ксанакса
1	Сонливость от Сейзара тоже была, кстати
1	Сероквель я бы подумал тоже и возможно пересмотрел с врачом - от неё часто хочется есть больше чем надо, что вернёт к проблемам с ЖКТ, и тд, хотя если чисто как снотворное то хороший современный нейролептик.
1	Держал только Паксил. От Велафакса и Тералиджена вообще мало толку. Одна сонливость и ещё более депрессивная апатия. Атаракс быстро тоже не помогает. Возвращаться к Паксилу уже поздно.  Чёртова суицидальная хандра. Помогает алкоголь, но днём его нельзя. Мир умирает- это прекрасно
0	Уже март на носу. А по региональной льготе диабетикам не выдано ничего, даже копеечного метформина  в льготе нет! Чего уж там о галвусе, кселевии, янувии и тп, а так-же о тест-полосках рассуждать? И это в ближнем Подмосковье! https://t.co/WUvzWTBI4x
1	какая разница из-за чего покончить с собой: из-за депрессии, или предлагаемо набранных 20 кг от сероквеля?
0	Подоспела следующая партия ксанакса и анонс Sony очередного спин-оффа Человека-паука о Чёрной Кошке и Серебрянном Соболе без Паучка. ТРУХА!
1	Приём прозака может вызывать попытки суицида
0	одно из торговых названий кветиапина - Гедонин)))))))))
1	сука сука сука ебаная тревога да что ж ты будешь делать можно жрать кветиапин постоянно спать и не тревожиться можно не жрать кветиапин и всё равно постоянно спать но тревожиться
1	О, бро, золофт это тема. Единственное что даёт мне силы жить. Главное - начинай наращивать дозу постепенно. Оланзапин канеш такое себе, есть и поновее и помягче нейролептики. Ну и ты месяц ещё будешь ходить вечно сонным пока не втянешься.
1	у меня проблемы с таблетками были потому что ни одно лекарство не подходит для лечения подростков и на мне испробовали штук семь и либо они нихера не делали типа флуоксетина либо стоили дорого как пароксетин либо как циталопрам заставляли меня набирать вес и хотеть умереть
1	@_Avalanche__ вот-вот после пары таких ночей я решила купить флуоксетин(создание дьявола) спустя три недели (тк накапливается в организме) из-за неправильного приема им же и передознулась после чего стала каждый день падать в обмороки😃 итог: поставила рекорд 7 обмороков за день😎😎😎
0	Нуу где же реклама Сеалекса: чтобы славно отдохнуть я беру с собой на Юг  #РоссияЧерногория
1	@lucky_the13th забери мой аппетит. Я из-за прозака хочу сожрать куриный торт, а потом вскрыть себе вены.
1	а имодиум - это это могучее заклинание, снимающее поносное проклятие
0	@9an9sta9an9sta отвечаю: ципролет. мне: дада, точно. говорю: ципролетом лечат воспаления, вызванные на бытовой почве, а не на вирусной
0	Вроде на море, вроде должна лечиться, а нихуя, когда в хате сижу вентолином закидуюсь и ринозалином заливаюсь
0	Вот то что поносный эсминец "Дональд Кук" припёрся в Чёрное море даже и писать не хотел. Ну что они как гавно в проруби болтаются туда сюда, туда сюда. Знают же, не дай Бог заваруха,бежать то некуда,закрытый бассейн. Или они проверяют как "Имодиум" работает? Так не поможет.
0	Уберите микроволновки и имодиум  Действуют соулмэйты
0	И мужик с сеалексом через каждые 5 минут заглядывал бы,а что ? , а вдруг?
0	кое-как дожила до утренних таблеток. владей мной, кветиапин
1	Мне рексетин панические атаки снял, а вот депрессию никак не убрвть
0	Почитал кстати про сейзар. Похоже на мой финлепсин. По сути аналог.
1	Бляха, зарекался ведь пить воткаят после энергетика под баклосаном на пустой желудок. Чет мне хуево, на плечи давит. Мне пизда
0	Серена Уильямс раскрыла секрет своего спорт.долголетия. По её словам, до сих пор выступать ей позволяет современная медицина  Вон чего! А я то дурак думал потому что ей ОФИЦИАЛЬНО было разрешено употреблять запрещенные вещества оксикодон гидроморфон, преднизон и метилпреднизолон
0	Флуоксетин не противоэпилептическое, он не прет, даже если есть пачками, но не плохо помогает, если пить по назначению.
1	во мне столько энергии, что мне хочется бегатьбегатьбегать. уфф, меня трясет. весело, кароч. мне понравился этот антидепрессант (паксил), 100 из 10, рекомендую! охуенно себя чувствую!
1	Лида старый состав 30 капсул - Частично блокирует аппетит, усиленная на сибутрамине 30 капсул - полностью блокирует аппетит и сжигает жир
0	Спасибо сибутрамину за отсутствие аппетита 👍 Еще один здоровый день без РПП
0	А данный твит посвящается астматикам. Те, кто хоть раз делал ингаляцию таким лекарством как будесонид, поймут почему дома меня называют юным скримером.
0	Принимаю кветиапин 400мг и флуоксетин 40. Врач рекомендует отменять первый по 50 в месяц, стоит послушать, или можно отменить немного побыстрее по 100 в месяц?
1	выпила велаксин и умираю от тошноты. к черту такую жизнь, господа.
0	Меня выручает галоперидол, пила ленуксин и флуоксетин в фазе депры.
1	Смотрела недавно видос одной девушки, которая говорила о флуоксетине Мол, да, сначала помогало, а потом ей стало ПОХУЙ КОНКРЕТНО НА ВСЕ Что бы ни происходило. Абсолютно.на.все.
